Address,Location,Price,Beds,Baths,SqFt,Price per sqft,HOA,Year Built,Property Type
3110 W Belmont Ave,CHI - Avondale,3195000.0,18,12,16234.0,197.0,,2008,Single Family Home
"4940 S East End Ave., Unit 10C",Chicago,199000.0,1,1,800.0,249.0,747.0,1927,Condo / Apartment
7840 S Springfield Ave,CHI - Ashburn,249900.0,3,1,1161.0,215.0,,1953,Single Family Home
6312 N Richmond St Unit 2A,CHI - West Ridge,250000.0,3,2,1200.0,208.0,330.0,1927,Condo / Apartment
7811 W Balmoral Ave,CHI - Norwood Park,425000.0,3,2.5,1825.0,233.0,,1943,Single Family Home
7363 S South Shore Dr #503,CHI - South Shore,53900.0,0,1,800.0,67.0,250.0,1962,Condo / Apartment
1640 N Orchard St Unit B,CHI - Lincoln Park,999900.0,3,3,2500.0,400.0,,1985,Single Family Home
3340 N Rutherford Ave,Chicago,439000.0,4,2,1981.0,222.0,,1937,Single Family Home
600 N Dearborn St #706,CHI - Near North Side,315000.0,1,1,700.0,450.0,593.0,2001,Condo / Apartment
7363 S South Shore Dr #208,CHI - South Shore,54900.0,1,1,900.0,61.0,275.0,1962,Condo / Apartment
2909 N Sheridan Rd #1607,North Side,215000.0,1,1,950.0,226.0,885.0,1952,Condo / Apartment
330 N Jefferson St #1002,CHI - Near West Side,349000.0,1,1,864.0,404.0,742.0,2000,Condo / Apartment
5709 S Austin Ave,Chicago,399000.0,4,2,1151.0,347.0,,1955,Single Family Home
8033 S Kirkland Ave,CHI - Ashburn,270000.0,3,2,1024.0,264.0,,1955,Single Family Home
222 N Columbus Dr #1901,CHI - Loop,300000.0,1,1,835.0,359.0,795.0,2002,Condo / Apartment
1436 W Farwell Ave Unit 2C,CHI - Rogers Park,145000.0,1,1,900.0,161.0,316.0,1967,Condo / Apartment
2535 W 45th St,CHI - Brighton Park,339900.0,5,3,2096.0,162.0,,1904,Single Family Home
3539 W Carroll Ave #2,CHI - East Garfield Park,305000.0,3,2,1200.0,254.0,250.0,2007,Condo / Apartment
606 W 47th Pl,CHI - New City,515000.0,4,3,3000.0,172.0,,1885,Single Family Home
5855 N Sheridan Rd Unit 6D,CHI - Edgewater,345000.0,2,2,1500.0,230.0,800.0,1974,Condo / Apartment
2820 W 36th St,CHI - Brighton Park,279000.0,4,2,1783.0,156.0,,1903,Single Family Home
1645 W Ogden Ave #534,CHI - Near West Side,235000.0,1,1,606.0,388.0,350.0,1925,Condo / Apartment
7122 S Winchester Ave,CHI - West Englewood,225000.0,3,1,1020.0,221.0,,1960,Single Family Home
10904 S Homan Ave,CHI - Mount Greenwood,269900.0,4,1,1400.0,193.0,,1947,Single Family Home
11410 S Throop St,CHI - Morgan Park,259900.0,4,2,1060.0,245.0,,1962,Single Family Home
3425 W Hollywood Ave Unit 2D,CHI - North Park,149900.0,1,1,700.0,214.0,270.0,1926,Condo / Apartment
847 W Belle Plaine Ave Unit 3N,CHI - Uptown,249900.0,1,1,670.0,373.0,317.0,1930,Condo / Apartment
1502 S Prairie Ave Unit A,CHI - Near South Side,650000.0,3,2.5,2100.0,310.0,731.0,1994,Condo / Apartment
