Address,Location,Price,Beds,Baths,SqFt,Price per sqft,HOA,Year Built,Property Type
3110 W Belmont Ave,CHI - Avondale,"$3,195,000",18,12,"16,234",$197,None,2008,Single Family Home
1000 E 53rd St Unit 519S,Renaissance Place,"$195,000",1,1,—,—,$676/month,1973,Condo / Apartment
"4940 S East End Ave., Unit 10C",Chicago,"$199,000",1,1,800,$249,$747/month,1927,Condo / Apartment
5421 N Ravenswood Ave,Chicago,"$879,900",3,3.5,—,—,None,2000,Single Family Home
7840 S Springfield Ave,CHI - Ashburn,"$249,900",3,1,"1,161",$215,None,1953,Single Family Home
6529 W 60th Pl,CHI - Clearing,"$255,000",3,1,—,—,None,1953,Single Family Home
6312 N Richmond St Unit 2A,CHI - West Ridge,"$250,000",3,2,"1,200",$208,$330/month,1927,Condo / Apartment
7811 W Balmoral Ave,CHI - Norwood Park,"$425,000",3,2.5,"1,825",$233,None,1943,Single Family Home
7363 S South Shore Dr #503,CHI - South Shore,"$53,900",0,1,800,$67,$250/month,1962,Condo / Apartment
1640 N Orchard St Unit B,CHI - Lincoln Park,"$999,900",3,3,"2,500",$400,None,1985,Single Family Home
3340 N Rutherford Ave,Chicago,"$439,000",4,2,"1,981",$222,None,1937,Single Family Home
600 N Dearborn St #706,CHI - Near North Side,"$315,000",1,1,700,$450,$593/month,2001,Condo / Apartment
7363 S South Shore Dr #208,CHI - South Shore,"$54,900",1,1,900,$61,$275/month,1962,Condo / Apartment
2429 N Clybourn Ave Unit B,CHI - Lincoln Park,"$615,000",3,2.5,—,—,$80/month,1997,Condo / Apartment
2909 N Sheridan Rd #1607,North Side,"$215,000",1,1,950,$226,$885/month,1952,Condo / Apartment
330 N Jefferson St #1002,CHI - Near West Side,"$349,000",1,1,864,$404,$742/month,2000,Condo / Apartment
8044 S Maryland Ave,CHI - Chatham,"$465,000",6,3,—,—,None,1921,Single Family Home
5709 S Austin Ave,Chicago,"$399,000",4,2,"1,151",$347,None,1955,Single Family Home
8033 S Kirkland Ave,CHI - Ashburn,"$270,000",3,2,"1,024",$264,None,1955,Single Family Home
222 N Columbus Dr #1901,CHI - Loop,"$300,000",1,1,835,$359,$795/month,2002,Condo / Apartment
1436 W Farwell Ave Unit 2C,CHI - Rogers Park,"$145,000",1,1,900,$161,$316/month,1967,Condo / Apartment
2535 W 45th St,CHI - Brighton Park,"$339,900",5,3,"2,096",$162,None,1904,Single Family Home
3539 W Carroll Ave #2,CHI - East Garfield Park,"$305,000",3,2,"1,200",$254,$250/month,2007,Condo / Apartment
3963 W Belmont Ave Unit R-38,Shoemaker Lofts,"$18,000",—,—,—,—,$23/month,1933,Condo / Apartment
4662 N Laramie Ave,CHI - Portage Park,"$774,400",4,2,—,—,None,1953,Single Family Home
1503 W Walton St Unit A,CHI - West Town,"$1,050,000",3,2.5,—,—,None,2024,Single Family Home
3810 S Wood St,CHI - McKinley Park,"$184,900",3,2,—,—,None,1890,Single Family Home
606 W 47th Pl,CHI - New City,"$515,000",4,3,"3,000",$172,None,1885,Single Family Home
5855 N Sheridan Rd Unit 6D,CHI - Edgewater,"$345,000",2,2,"1,500",$230,$800/month,1974,Condo / Apartment
2820 W 36th St,CHI - Brighton Park,"$279,000",4,2,"1,783",$156,None,1903,Single Family Home
1645 W Ogden Ave #534,CHI - Near West Side,"$235,000",1,1,606,$388,$350/month,1925,Condo / Apartment
7122 S Winchester Ave,CHI - West Englewood,"$225,000",3,1,"1,020",$221,None,1960,Single Family Home
10904 S Homan Ave,CHI - Mount Greenwood,"$269,900",4,1,"1,400",$193,None,1947,Single Family Home
11410 S Throop St,CHI - Morgan Park,"$259,900",4,2,"1,060",$245,None,1962,Single Family Home
3425 W Hollywood Ave Unit 2D,CHI - North Park,"$149,900",1,1,700,$214,$270/month,1926,Condo / Apartment
5334 W Gladys Ave,CHI - Austin,"$499,000",9,3,—,—,None,1945,Single Family Home
847 W Belle Plaine Ave Unit 3N,CHI - Uptown,"$249,900",1,1,670,$373,$317/month,1930,Condo / Apartment
1502 S Prairie Ave Unit A,CHI - Near South Side,"$650,000",3,2.5,"2,100",$310,$731/month,1994,Condo / Apartment
4945 N Keeler Ave,North Mayfair,"$649,900",4,2.5,"2,833",$229,None,1924,Single Family Home
850 N Lake Shore Dr #810,CHI - Near North Side,"$599,000",2,2,"1,256",$477,$844/month,1927,Condo / Apartment
600 N Lake Shore Dr #3705,CHI - Near North Side,"$1,950,000",3,3.5,"2,540",$768,"$1,966/month",2009,Condo / Apartment
4924 W Congress Pkwy,CHI - Austin,"$115,000",4,2,"1,158",$99,None,1895,Single Family Home
2622 120th St,Blue Island,"$249,900",3,1.5,"1,090",$229,None,1956,Single Family Home
3537 N Olcott Ave,CHI - Dunning,"$354,900",4,1.5,"1,200",$296,None,1928,Single Family Home
5710 W Dakin St,CHI - Portage Park,"$550,000",9,3,—,—,None,1960,Single Family Home
5212 S Kildare Ave,CHI - Archer Heights,"$274,900",2,2,798,$344,None,1918,Single Family Home
401 N Wabash Ave Unit 60F,Trump Tower Chicago,"$1,495,000",2,2.5,"1,837",$814,"$2,112/month",2008,Condo / Apartment
6446 W 64th St,CHI - Clearing,"$389,900",3,2.5,"2,532",$154,None,1983,Single Family Home
4806 S Seeley Ave,Back of the Yards,"$225,000",6,3,—,—,None,1911,Single Family Home
2853 N Rockwell St,CHI - Avondale,"$1,325,000",5,4,"4,696",$282,None,2008,Single Family Home
11847 S Lafayette Ave,CHI - West Pullman,"$74,900",4,2,—,—,None,1913,Single Family Home
7018 N Ashland Blvd Unit GN,CHI - Rogers Park,"$290,000",2,2,"1,217",$238,$350/month,2004,Condo / Apartment
10925 S State St,CHI - Roseland,"$135,999",6,2,—,—,None,1895,Single Family Home
11036 S Keeler Ave,Oak Lawn,"$344,900",3,2,"1,300",$265,None,1954,Single Family Home
7801 S Komensky Ave,CHI - Ashburn,"$325,000",3,2,840,$387,None,1955,Single Family Home
850 N Lake Shore Dr #1606,CHI - Near North Side,"$497,000",1,1,"1,031",$482,$680/month,1927,Condo / Apartment
64 E Elm St #3,CHI - Near North Side,"$2,290,000",3,3.5,"3,657",$626,"$1,041/month",1911,Condo / Apartment
3180 N Lake Shore Dr Unit 3D,CHI - Lake View,"$330,000",2,2,"1,500",$220,"$1,355/month",1956,Condo / Apartment
1218 W Columbia Ave,CHI - Rogers Park,"$1,299,000",16,7,—,—,None,1919,Single Family Home
11947 S Eggleston Ave,CHI - West Pullman,"$179,900",4,2,"1,972",$91,None,1893,Single Family Home
6442 S Paulina St,CHI - West Englewood,"$319,900",7,3.5,—,—,None,1915,Single Family Home
850 N Lake Shore Dr #211,CHI - Near North Side,"$422,000",1,1,"1,025",$412,$647/month,1927,Condo / Apartment
3808 N Oconto Ave,CHI - Dunning,"$265,900",2,1,885,$300,None,1926,Single Family Home
6219 S May St,CHI - Englewood,"$338,000",5,3,—,—,None,1908,Single Family Home
7642 S Eberhart Ave,CHI - Greater Grand Crossing,"$295,000",5,3,"2,686",$110,None,1915,Single Family Home
850 N Lake Shore Dr #1608,CHI - Near North Side,"$508,000",1,1,"1,040",$488,$689/month,1927,Condo / Apartment
303 W Ohio St #2105,Silver Tower,"$385,000",1,2,—,—,$759/month,2009,Condo / Apartment
708 W Barry Ave Unit 1F,CHI - Lake View,"$525,000",2,2,"1,200",$438,$327/month,2005,Condo / Apartment
800 N Michigan Ave #3203,Park Tower,"$1,075,000",2,2.5,"2,000",$538,"$1,532/month",2000,Condo / Apartment
938 W George St #3,CHI - Lake View,"$474,900",2,2,—,—,$182/month,1996,Condo / Apartment
6653 S Talman Ave,CHI - Chicago Lawn,"$354,999",5,3,—,—,None,1923,Single Family Home
400 W Ontario St #1603,CHI - Near North Side,"$579,900",2,2.5,"1,817",$319,"$1,202/month",2000,Condo / Apartment
341 E 117th St,CHI - West Pullman,"$127,000",3,1.5,998,$127,None,1903,Single Family Home
523 N Claremont Ave #3,CHI - West Town,"$435,000",2,2,—,—,$330/month,1999,Condo / Apartment
1530 S State St Unit 14S,Dearborn Tower,"$475,000",2,2,"1,547",$307,$939/month,2000,Condo / Apartment
5040 N Marine Dr Unit D3,CHI - Uptown,"$131,900",1,1,800,$165,$717/month,1939,Condo / Apartment
4041 N Elston Ave #2,CHI - Irving Park,"$499,000",3,2,"1,850",$270,$165/month,2020,Condo / Apartment
5352 S Justine St,CHI - New City,"$165,000",6,2,924,$179,None,1888,Single Family Home
70 W Burton Pl #1801,Faulkner House,"$255,000",1,1,745,$342,$952/month,1966,Condo / Apartment
2800 N Lake Shore Dr #2701,CHI - Lake View,"$475,000",2,2,—,—,"$1,276/month",1967,Condo / Apartment
6020 S Eberhart Ave,CHI - Woodlawn,"$625,000",8,3,—,—,None,1909,Single Family Home
8506 W Catalpa Ave,CHI - O'Hare,"$729,900",8,5,—,—,None,1967,Single Family Home
4755 S Lotus Ave,CHI - Garfield Ridge,"$269,873",3,1,"1,455",$185,None,1950,Single Family Home
236 E 92nd St,CHI - Roseland,"$120,000",3,2,"1,336",$90,None,1942,Single Family Home
2700 S Avers Ave,Little Village,"$369,000",8,4,—,—,None,1912,Single Family Home
2024 S Wabash Ave #607,Ravina Lofts,"$230,000",1,1,738,$312,$405/month,1914,Condo / Apartment
2713 W Warren Blvd,CHI - East Garfield Park,"$289,000",4,2,"2,704",$107,None,1885,Single Family Home
7343 W Belmont Ave,CHI - Dunning,"$419,900",3,1.5,"1,250",$336,None,1960,Single Family Home
602 W 103rd St,CHI - Washington Heights,"$237,900",4,2,"1,377",$173,None,1973,Single Family Home
8107 S Princeton Ave,CHI - Chatham,"$284,900",4,1.5,"2,000",$142,None,1928,Single Family Home
